Nr wiersza,Nr zamówienia,Data zamówienia,Priorytet zamówienia,Wielkość zamówienia,Data wysyłki,Rodzaj transportu,Rodzaj opakowania,Segment rynku,Region,Województwo,Miasto,Kod pocztowy,Nr klienta,Kategoria produktu,Podkategoria produktu,Nazwa produktu,Sprzedaż,Cena jednostkowa,Rabat procentowy,Marża podstawowa,Koszt dostawy,Zysk,Miesiąc wysyłki
1244,PL-2013-009062,41353,wysoki,36,41354,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowy,śląskie,Ruda Śląska,20-016,K01193,artykuły biurowe,spinacze i zszywki,Staples Vinyl Coated Paper Clips,469.35,13.755,0.06,0.39,3.465,107.135,3
1245,PL-2013-009062,41353,wysoki,21,41356,lotniczy standardowy,małe opakowanie,osoba fizyczna,południowy,śląskie,Ruda Śląska,20-016,K01193,meble,wyposażenie wnętrza,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",7061.495,347.305,0.06,0.35,31.465,4176.165,3
1279,PL-2011-009285,40545,krytyczny,3,40547,lotniczy standardowy,małe pudełko,osoba fizyczna,południowy,małopolskie,Kraków,90-049,K00949,artykuły biurowe,segregatory,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",436.835,143.43,0.06,0.36,10.465,-66.8472,1
1282,PL-2013-009344,41614,niski,36,41616,lotniczy standardowy,duże pudełko,osoba fizyczna,południowy,małopolskie,Kraków,90-041,K00699,artykuły biurowe,teczki,Safco Industrial Wire Shelving,12131.7,335.965,0.09,NA,122.5,-1769.915,12
1283,PL-2013-009344,41614,niski,62,41614,lotniczy standardowy,małe pudełko,osoba fizyczna,południowy,małopolskie,Kraków,90-041,K00699,urządzenia techniczne,telefony,SC7868i,24140.515,440.965,0.02,0.55,31.465,3151.449,12
1288,PL-2014-009409,41764,krytyczny,16,41766,lotniczy standardowy,małe pudełko,biuro w domu,południowy,śląskie,Ruda Śląska,20-006,K03342,urządzenia techniczne,akcesoria komputerowe,Adesso Programmable 142-Key Keyboard,7992.425,533.68,0.1,0.79,14,-1367.695,5
1293,PL-2014-009476,41784,nieokreślony,13,41786,lotniczy ekspresowy,małe pudełko,korporacja,południowy,śląskie,Ruda Śląska,20-016,K02867,artykuły biurowe,segregatory,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",750.925,55.965,0.08,0.37,46.13,-233.0475,5
1311,PL-2011-009606,40751,nieokreślony,47,40751,lotniczy standardowy,małe pudełko,mała firma,centralny,mazowieckie,Warszawa,10-039,K00898,artykuły biurowe,etykiety,Round Specialty Laser Printer Labels,2080.54,43.855,0.02,0.38,1.715,921.9,7
1312,PL-2011-009606,40751,nieokreślony,44,40753,lotniczy ekspresowy,woreczek foliowy,mała firma,centralny,mazowieckie,Warszawa,10-039,K00898,artykuły biurowe,papier,Array® Memo Cubes,799.75,18.13,0.07,0.36,7.14,130.585,7
132,PL-2013-000835,41554,nieokreślony,35,41555,lotniczy standardowy,małe pudełko,mała firma,wschodni,lubelskie,Lublin,75-220,K01106,artykuły biurowe,papier,Xerox 23,851.795,22.68,0.02,0.37,17.99,-98.616,10
1358,PL-2014-009894,41716,wysoki,16,41718,lądowy,kontener,mała firma,południowy,śląskie,Ruda Śląska,20-016,K01193,meble,krzesła,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,18913.125,1245.93,0.08,0.64,206.22,363.405,3
1359,PL-2012-009895,41019,niski,9,41023,lotniczy standardowy,woreczek foliowy,mała firma,centralny,mazowieckie,Warszawa,10-012,K00021,artykuły biurowe,akcesoria piśmiennicze,"Dixon My First Ticonderoga Pencil, #2",191.765,20.475,0.05,0.56,7.945,-23.87,4
1390,PL-2012-010080,40951,niski,20,40958,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-113,K01413,urządzenia techniczne,akcesoria komputerowe,Fellowes 17-key keypad for PS/2 interface,2229.64,107.555,0,0.75,14,-93.905,2
1391,PL-2012-010081,41128,nieokreślony,88,41129,lotniczy standardowy,małe pudełko,biuro w domu,centralny,łódzkie,Łódź,60-603,K02920,meble,wyposażenie wnętrza,"Seth Thomas 8 1/2"" Cubicle Clock",6652.975,70.98,0.02,0.53,23.38,857.5,8
1399,PL-2012-010147,41191,wysoki,40,41192,lotniczy standardowy,małe pudełko,biuro w domu,południowo-zachodni,dolnośląskie,Wrocław,77-095,K01630,artykuły biurowe,segregatory,Storex DuraTech Recycled Plastic Frosted Binders,615.685,14.84,0.04,0.35,18.935,-306.222,10
1413,PL-2012-010247,40918,średni,21,40919,lotniczy standardowy,małe pudełko,biuro w domu,południowy,śląskie,Rybnik,02-118,K01129,artykuły biurowe,papier,Xerox 1952,390.81,17.43,0.06,0.38,19.215,-298.648,1
1414,PL-2012-010247,40918,średni,24,40920,lotniczy standardowy,małe opakowanie,biuro w domu,południowy,śląskie,Rybnik,02-118,K01129,urządzenia techniczne,akcesoria komputerowe,"Memorex Slim 80 Minute CD-R, 10/Pack",811.825,34.23,0.03,0.43,6.965,61.796,1
1417,PL-2011-010277,40640,średni,36,40641,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-113,K01413,urządzenia techniczne,telefony,g520,7507.22,230.965,0,0.59,18.41,1897.875,4
1439,PL-2012-010373,41085,krytyczny,42,41087,lotniczy standardowy,małe pudełko,osoba fizyczna,północny,kujawsko-pomorskie,Toruń,28-206,K02882,artykuły biurowe,papier,Xerox 21,1014.09,22.68,0.03,0.37,23.1,-333.90315,6
1442,PL-2012-010435,41131,średni,68,41133,lotniczy standardowy,małe opakowanie,korporacja,północny,warmińsko-mazurskie,Olsztyn,98-119,K01280,artykuły biurowe,akcesoria piśmiennicze,Boston KS Multi-Size Manual Pencil Sharpener,5456.78,80.465,0.06,0.57,31.465,-50.085,8
1443,PL-2014-010435,41861,średni,92,41862,lotniczy standardowy,małe opakowanie,korporacja,północny,warmińsko-mazurskie,Olsztyn,98-119,K01280,artykuły biurowe,akcesoria piśmiennicze,"Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black",3765.09,40.81,0.05,0.58,27.825,-567.84,8
1450,PL-2011-010464,40765,krytyczny,41,40766,lotniczy standardowy,małe pudełko,osoba fizyczna,centralny,mazowieckie,Warszawa,10-154,K00491,artykuły biurowe,papier,Xerox 1897,759.5,17.43,0.01,0.36,21.245,-241.745,8
1455,PL-2014-010470,41763,krytyczny,46,41768,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Jastrzębie-Zdrój,33-916,K01959,meble,wyposażenie wnętrza,"Eldon® Expressions™ Wood Desk Accessories, Oak",1136.1,25.83,0.1,0.56,18.235,-441.2009,5
1467,PL-2014-010567,41727,wysoki,10,41728,lądowy,wielkie pudło,biuro w domu,centralny,mazowieckie,Warszawa,10-013,K03121,meble,stoły,Bevis Round Conference Table Top & Single Column Base,3888.535,512.19,0.09,0.65,153.125,-512.015,3
1470,PL-2014-010624,41993,krytyczny,46,41995,lotniczy standardowy,małe opakowanie,korporacja,południowy,śląskie,Ruda Śląska,20-024,K00894,urządzenia techniczne,akcesoria komputerowe,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",7577.01,167.93,0.06,0.71,12.635,83.895,12
1497,PL-2012-010819,41145,krytyczny,63,41145,lotniczy standardowy,małe pudełko,mała firma,centralny,mazowieckie,Warszawa,10-024,K02382,artykuły biurowe,papier,Xerox 1905,1470.35,22.68,0.06,0.37,33.39,-690.865,8
151,PL-2011-000962,40668,niski,48,40670,lotniczy standardowy,małe pudełko,mała firma,centralny,mazowieckie,Warszawa,10-024,K02382,artykuły biurowe,segregatory,GBC Therma-A-Bind 250T Electric Binding System,20689.725,430.465,0.06,0.37,69.965,4928.65275,5
1511,PL-2012-010919,40995,wysoki,42,40995,lotniczy standardowy,duże pudełko,korporacja,południowy,małopolskie,Kraków,90-032,K02842,artykuły biurowe,teczki,Tennsco Industrial Shelving,7143.325,171.185,0.07,0.83,122.5,-4311.545,3
1512,PL-2013-010944,41590,wysoki,31,41592,lotniczy standardowy,średnie pudełko,mała firma,centralny,mazowieckie,Warszawa,10-024,K02382,urządzenia techniczne,urządzenia biurowe,Canon P1-DHIII Palm Printing Calculator,2190.02,62.93,0,0.4,29.785,-96.1611,11
1515,PL-2014-010949,41728,średni,46,41729,lądowy,wielkie pudło,mała firma,północny,kujawsko-pomorskie,Toruń,28-204,K00272,urządzenia techniczne,urządzenia biurowe,Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer,12072.41,283.395,0.1,0.4,105.21,592.74565,3
152,PL-2011-000962,40668,niski,68,40670,lądowy,kontener,mała firma,centralny,mazowieckie,Warszawa,10-024,K02382,artykuły biurowe,przyrządy,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",16274.475,240.835,0.08,0.41,210,-3744.02,5
1522,PL-2014-010982,41983,nieokreślony,58,41984,lotniczy standardowy,małe pudełko,biuro w domu,południowo-zachodni,dolnośląskie,Wrocław,77-041,K03106,artykuły biurowe,segregatory,Flexible Leather- Look Classic Collection Ring Binder,3767.89,66.29,0.02,0.35,5.215,788.1965,12
1523,PL-2014-010982,41983,nieokreślony,60,41985,lotniczy standardowy,małe pudełko,biuro w domu,południowo-zachodni,dolnośląskie,Wrocław,77-041,K03106,artykuły biurowe,segregatory,GBC Therma-A-Bind 250T Electric Binding System,25657.87,430.465,0.05,0.37,69.965,4327.2565,12
1524,PL-2014-010982,41983,nieokreślony,28,41985,lotniczy ekspresowy,woreczek foliowy,biuro w domu,południowo-zachodni,dolnośląskie,Wrocław,77-041,K03106,artykuły biurowe,spinacze i zszywki,OIC Thumb-Tacks,146.65,3.99,0,0.38,2.45,9.835,12
1529,PL-2011-011013,40650,wysoki,2,40651,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Ruda Śląska,20-016,K02867,urządzenia techniczne,telefony,M70,794.08,440.965,0.01,0.59,31.465,-2039.268,4
1539,PL-2011-011077,40622,niski,30,40626,lądowy,wielkie pudło,osoba fizyczna,północny,warmińsko-mazurskie,Olsztyn,98-119,K00640,meble,szafki,Rush Hierlooms Collection Rich Wood Bookcases,16170.175,563.43,0.06,0.72,122.57,-803.88,3
1552,PL-2011-011206,40905,niski,48,40907,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Ruda Śląska,20-016,K01193,urządzenia techniczne,akcesoria komputerowe,Zoom V.92 USB External Faxmodem,8306.62,174.965,0.09,0.41,69.965,-59.605,12
1553,PL-2011-011206,40905,niski,11,40909,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Ruda Śląska,20-016,K01193,artykuły biurowe,segregatory,Lock-Up Easel 'Spel-Binder',1140.055,99.855,0.03,0.38,5.215,138.6945,1
1579,PL-2013-011425,41447,krytyczny,48,41448,lotniczy standardowy,małe pudełko,osoba fizyczna,centralny,mazowieckie,Warszawa,10-165,K02571,artykuły biurowe,teczki,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",2797.55,59.185,0.1,0.58,21.875,-58.065,6
1580,PL-2013-011425,41447,krytyczny,38,41449,lotniczy ekspresowy,małe pudełko,osoba fizyczna,centralny,mazowieckie,Warszawa,10-165,K02571,urządzenia techniczne,telefony,CF 688,17172.26,545.965,0.04,0.58,31.465,1342.089,6
1590,PL-2012-011460,41145,wysoki,54,41147,lotniczy standardowy,małe pudełko,biuro w domu,wschodni,lubelskie,Lublin,75-081,K00563,artykuły biurowe,etykiety,Avery 487,644.105,12.915,0.09,0.38,1.75,132.265,8
1595,PL-2011-011527,40726,średni,54,40728,lotniczy standardowy,małe opakowanie,biuro w domu,południowy,śląskie,Jastrzębie-Zdrój,33-132,K00349,meble,wyposażenie wnętrza,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",19444.6,347.305,0.04,0.35,31.465,6708.36495,7
1606,PL-2013-011651,41327,średni,21,41329,lotniczy ekspresowy,woreczek foliowy,mała firma,północno-zachodni,wielkopolskie,Poznań,19-140,K01228,artykuły biurowe,akcesoria piśmiennicze,Newell 329,254.73,11.48,0.07,0.59,3.43,13.65,2
1613,PL-2014-011683,41677,nieokreślony,28,41677,lotniczy standardowy,małe pudełko,korporacja,północno-zachodni,wielkopolskie,Poznań,19-134,K01313,urządzenia techniczne,telefony,i1000,5776.435,230.965,0.03,0.58,20.965,1172.7765,2
1617,PL-2011-011712,40659,niski,9,40661,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowy,małopolskie,Kraków,90-045,K02491,artykuły biurowe,akcesoria piśmiennicze,Newell 336,136.36,14.98,0.06,0.56,3.29,1.295,4
1628,PL-2012-011779,41089,nieokreślony,68,41091,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowy,śląskie,Rybnik,02-129,K00102,artykuły biurowe,papier,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",1645.385,24.08,0.04,0.39,7,303.1,7
1629,PL-2012-011779,41089,nieokreślony,65,41090,lotniczy standardowy,małe pudełko,osoba fizyczna,południowy,śląskie,Rybnik,02-129,K00102,urządzenia techniczne,akcesoria komputerowe,Micro Innovations 104 Keyboard,2396.31,38.395,0.09,0.64,22.75,-603.19,6
1633,PL-2014-011808,41851,nieokreślony,1,41852,lądowy,wielkie pudło,korporacja,południowy,małopolskie,Kraków,90-049,K03289,meble,stoły,"Iceberg OfficeWorks 42"" Round Tables",519.19,528.43,0.06,0.75,137.375,88.223625,8
1642,PL-2014-011874,41891,średni,2,41893,lotniczy standardowy,małe pudełko,korporacja,południowy,małopolskie,Kraków,90-049,K03289,urządzenia techniczne,akcesoria komputerowe,"Fellowes Internet Keyboard, Platinum",282.03,106.47,0,0.74,30.275,-287.455,9
1643,PL-2014-011874,41891,średni,42,41891,lotniczy standardowy,małe pudełko,korporacja,południowy,małopolskie,Kraków,90-049,K03289,artykuły biurowe,koperty,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",5701.92,139.93,0.07,0.4,34.405,627.795,9
1645,PL-2013-011876,41458,wysoki,63,41461,lotniczy standardowy,średnie pudełko,biuro w domu,południowo-zachodni,dolnośląskie,Legnica,30-305,K01745,meble,wyposażenie wnętrza,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",23700.88,376.355,0.02,0.65,20.335,4007.2298,7
1659,PL-2013-011968,41349,niski,35,41349,lotniczy standardowy,woreczek foliowy,korporacja,północny,warmińsko-mazurskie,Olsztyn,98-105,K00698,artykuły biurowe,akcesoria piśmiennicze,Avery Hi-Liter® Fluorescent Desk Style Markers,432.67,11.83,0.04,0.48,2.975,91.315,3
1681,PL-2014-012129,41998,średni,72,42001,lądowy,kontener,korporacja,centralny,łódzkie,Łódź,60-653,K01402,meble,krzesła,"Global High-Back Leather Tilter, Burgundy",33964.35,430.465,0,0.74,245.7,-4191.53,12
1692,PL-2011-012224,40889,wysoki,4,40891,lądowy,wielkie pudło,osoba fizyczna,południowo-zachodni,dolnośląskie,Legnica,30-305,K01745,meble,stoły,Bevis 36 x 72 Conference Tables,2120.37,435.715,0.04,0.63,181.79,-866.430495,12
1693,PL-2011-012224,40889,wysoki,54,40889,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowo-zachodni,dolnośląskie,Legnica,30-305,K01745,urządzenia techniczne,telefony,Accessory17,5491.5,125.965,0.1,0.82,17.5,-970.23234,12
1696,PL-2014-012256,41991,średni,88,41993,lotniczy standardowy,małe pudełko,biuro w domu,południowo-zachodni,dolnośląskie,Legnica,30-305,K01745,artykuły biurowe,etykiety,Avery 49,825.79,10.08,0.1,0.36,1.75,104.56355,12
1713,PL-2013-012320,41628,krytyczny,70,41630,lądowy,wielkie pudło,korporacja,południowy,małopolskie,Kraków,90-049,K03289,meble,stoły,Anderson Hickey Conga Table Tops & Accessories,3774.47,53.305,0.05,0.76,97.125,40.778325,12
1739,PL-2011-012480,40731,średni,10,40732,lądowy,wielkie pudło,mała firma,północno-zachodni,wielkopolskie,Poznań,19-112,K03079,meble,szafki,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,5193.16,481.18,0,0.78,112.63,-711.445,7
1768,PL-2012-012643,40987,niski,22,40989,lotniczy standardowy,woreczek foliowy,mała firma,centralny,mazowieckie,Radom,94-122,K00181,artykuły biurowe,papier,White GlueTop Scratch Pads,1209.915,52.64,0.02,0.39,6.895,501.305,3
1788,PL-2014-012804,41784,średni,27,41787,lotniczy standardowy,małe pudełko,biuro w domu,południowy,małopolskie,Kraków,90-049,K02670,artykuły biurowe,etykiety,Avery 497,310.765,10.78,0,0.37,1.75,99.645,5
1789,PL-2014-012804,41784,średni,65,41786,lotniczy standardowy,woreczek foliowy,biuro w domu,południowy,małopolskie,Kraków,90-049,K02670,artykuły biurowe,spinacze i zszywki,Assorted Color Push Pins,382.235,6.335,0.08,0.52,2.625,-14.595,5
1790,PL-2014-012804,41784,średni,44,41786,lotniczy ekspresowy,małe pudełko,biuro w domu,południowy,małopolskie,Kraków,90-049,K02670,artykuły biurowe,teczki,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",2685.585,56.21,0.02,0.59,29.19,-157.22,5
1795,PL-2013-012868,41334,krytyczny,35,41335,lotniczy standardowy,woreczek foliowy,osoba fizyczna,centralny,łódzkie,Łódź,60-699,K02403,artykuły biurowe,akcesoria piśmiennicze,Newell 310,210.735,6.16,0.09,0.56,2.45,-8.54,3
1796,PL-2013-012868,41334,krytyczny,2,41336,lotniczy standardowy,woreczek foliowy,osoba fizyczna,centralny,łódzkie,Łódź,60-699,K02403,artykuły biurowe,papier,Spiral Phone Message Books with Labels by Adams,32.795,15.68,0.09,0.36,4.27,-18.41,3
1799,PL-2013-012897,41473,nieokreślony,53,41474,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-118,K01129,artykuły biurowe,etykiety,Avery 487,672.98,12.915,0.03,0.38,1.75,209.72,7
1800,PL-2013-012897,41473,nieokreślony,42,41474,lotniczy ekspresowy,małe pudełko,korporacja,południowy,śląskie,Rybnik,02-118,K01129,artykuły biurowe,papier,Xerox 216,1003.17,22.68,0.05,0.37,27.685,-423.325,7
18001,PL-2012-085820,41195,niski,3,41202,lotniczy standardowy,duże pudełko,mała firma,południowo-zachodni,opolskie,Popielów,60-035,K02409,artykuły biurowe,teczki,"Eldon Base for stackable storage shelf, platinum",457.695,136.29,0.04,0.8,122.5,-806.085,10
18002,PL-2014-085831,41690,nieokreślony,1,41691,lotniczy standardowy,małe opakowanie,korporacja,wschodni,podkarpackie,Kańczuga,98-026,K02868,artykuły biurowe,nożyczki i linijki,Kleencut® Forged Office Shears by Acme United Corporation,12.145,7.28,0.01,0.55,8.96,-16.24,2
18003,PL-2013-085838,41470,wysoki,9,41472,lotniczy standardowy,średnie pudełko,korporacja,północno-zachodni,wielkopolskie,Połajewo,98-387,K02067,meble,wyposażenie wnętrza,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",3402.105,376.355,0.07,0.65,20.335,2347.45245,7
18004,PL-2013-085838,41470,wysoki,8,41471,lądowy,wielkie pudło,korporacja,północno-zachodni,wielkopolskie,Połajewo,98-387,K02067,meble,stoły,KI Conference Tables,2054.955,248.115,0.09,0.72,312.55,-6119.96,7
18005,PL-2013-085838,41470,wysoki,8,41472,lotniczy standardowy,średnie pudełko,korporacja,północno-zachodni,wielkopolskie,Połajewo,98-387,K02067,urządzenia techniczne,telefony,Bell Sonecor JB700 Caller ID,195.055,27.965,0.04,0.6,17.605,-297.9515,7
18006,PL-2013-085838,41470,wysoki,5,41471,lotniczy standardowy,małe opakowanie,korporacja,południowy,śląskie,Orzesze,27-260,K02065,urządzenia techniczne,akcesoria komputerowe,"Imation 3.5 IBM Diskettes, 10/Box",163.975,29.61,0.04,0.79,31.465,56.091,7
